km,price
20257,8811
20280,8689
20354,8850
20470,8278
20796,8861
20855,8701
21067,8835
21266,8508
21326,8676
21601,8477
21652,8697
21814,8378
21900,8378
21952,8725
21978,8841
22169,8189
22420,8601
22489,8644
22777,8406
23160,8454
23482,8654
23571,8570
24112,8577
24143,8389
24292,8708
24735,8844
24811,8129
25009,8709
25122,8109
25302,8545
25338,8460
25358,8846
25563,9000
25595,8655
25842,8101
26264,8336
26408,8303
26637,8983
26799,8927
27052,8348
27071,8800
27220,8940
27567,8098
28305,8238
28447,8883
28489,9000
28550,8815
28838,8339
29658,8611
29659,7947
30020,8539
30052,8397
30083,8999
30686,8345
30766,8231
31066,8491
31282,7840
31657,8382
31783,8327
31900,8720
32034,8890
32039,8455
32748,8693
32809,8321
33037,8687
33117,8636
34193,8386
34495,8211
35047,8594
35239,8672
35438,8655
35567,8460
35645,8218
36414,8171
36449,8183
36627,8292
36840,8974
36858,9000
37039,8133
37538,8340
37775,8721
38367,8889
38449,8482
39078,8381
39689,8659
40427,8213
40645,8231
40662,8659
41065,8645
41242,7880
41577,8449
41733,8649
41829,7916
41983,8943
42074,7886
42762,8128
43127,8882
43168,8220
43868,8546
43948,8361
44243,8628
44531,7905
44653,8324
44967,8291
45243,8325
45470,8224
45487,8169
45495,8163
46131,8699
46920,8175
46965,8023
47088,8004
47331,7829
48314,8481
49244,8053
49457,8192
49586,8534
49673,7713
50107,8255
50454,8097
50626,8002
50635,7844
50940,8161
51507,8241
51642,8052
52899,8267
53118,8357
53379,8022
53978,7830
56387,8278
57397,8106
58820,8031
58884,8305
58980,9000
59543,7728
60790,7657
63284,8430
64825,8057
65918,8189
68851,8012
69386,7892
69611,8193
69854,7955
70220,8592
70982,7676
71183,7996
71190,7689
72258,7872
72656,8369
72765,7730
72903,7771
73299,8132
74061,8050
74147,7917
74387,7768
74796,7892
74889,8063
75273,7992
76209,8475
77397,7698
78097,8271
78752,8044
78762,7910
79564,7840
79972,7180
81289,7800
81618,7451
82546,7397
84025,7890
84398,7731
85870,7678
86169,7857
88944,7828
88958,7485
89300,7382
90546,7596
90720,7829
91284,7392
92518,8100
92779,6635
93253,8258
93794,8229
94544,7605
96446,7744
96545,7795
98476,7533
98767,8067
98965,7926
99041,7079
99072,7867
99796,7299
100085,7459
101223,7400
102029,7149
102106,7385
103185,7433
103271,7201
103794,7051
105286,7124
105918,7445
106600,7220
106864,7380
109220,7646
110727,7340
112608,7743
114531,7318
114809,7251
116014,7524
116303,6992
117767,7314
117921,6816
118080,6996
119230,7594
119597,7171
120844,7297
121170,7810
124020,7366
125123,7440
125839,7259
126091,6931
126282,7203
127046,7737
129893,6994
131784,6705
134834,6808
136628,6648
136917,6773
139843,6980
140188,7244
140295,7059
140641,7114
141670,6503
143378,6237
145310,6608
148890,6556
149259,6746
150206,6761
151693,6913
152260,6500
153716,6951
153980,6759
154088,6259
154463,6263
154757,6847
156862,6682
157561,6990
157876,6728
159716,6375
162211,6673
163736,6183
164923,6932
170825,6724
171652,6198
172466,6126
175862,6113
176919,6593
178298,6581
178702,6124
180694,5867
183397,6024
183412,5937
187968,5825
188028,6208
189358,6087
190337,6734
190584,6234
191679,5539
192292,6067
192787,5580
192839,6398
193492,6119
194405,6277
197946,5783
198296,5388
198825,6156
200804,5841
201629,6469
205231,6098
206697,5999
208598,5964
209326,5718
212768,6314
213077,6017
214573,6421
215094,5319
216429,5820
219721,5329
220738,5493
222537,6072
227377,6024
228052,5540
229214,6051
229807,5888
231513,6003
231704,5784
232802,5657
233525,5331
241101,5486
241855,5204
243797,5084
